"HUD ID Number","Project Name","Project Address","Project City","Project State","Project ZIP Code","County","Total Number of Units","Total Low-Income Units","Compliance Monitoring Status"
"NYC19890008","ROUND I (NEW PROSPECTS)","21 PATCHEN AVE","BROOKLYN","NY","11221","Kings County","68","66","Not Indicated"
"NYC19890009","ROUND I (QUINCY ST)","105 QUINCY ST","BROOKLYN","NY","11238","Kings County","12","12","Not Indicated"
"NYC19900001","BK 2-M","761 PROSPECT PL","BROOKLYN","NY","11216","Kings County","40","10","Not Indicated"
"NYC19900002","BK 3-H","189 COLUMBIA ST","BROOKLYN","NY","11231","Kings County","11","11","Not Indicated"
"NYC19900003","BK 3-V PHASE I","1454 BEDFORD AVE","BROOKLYN","NY","11216","Kings County","42","25","Not Indicated"
"NYC19900006","CLARKSON GARDENS","278 E 92ND ST","BROOKLYN","NY","11212","Kings County","105","30","Not Indicated"
"NYC19900012","ROUND I (NEXT WAVE)","20 MAUJER ST","BROOKLYN","NY","11206","Kings County","50","49","Not Indicated"
"NYC19900016","ROUND I (RODNEY DRIGGS)","778 DRIGGS AVE","BROOKLYN","NY","11211","Kings County","71","70","Not Indicated"
"NYC19910002","ABRAHAM RESID I","3915 NEPTUNE AVE","BROOKLYN","NY","11224","Kings County","76","75","Not Indicated"
"NYC19910003","BK 2-R","1628 LINCOLN PL","BROOKLYN","NY","11233","Kings County","74","19","Not Indicated"
"NYC19910008","ROUND II (CROWN PROSPECT)","459 ST MARKS AVE","BROOKLYN","NY","11238","Kings County","120","94","Not Indicated"
"NYC19910011","ROUND II (VERNON P BUFFALO)","4 VERNON AVE","BROOKLYN","NY","11206","Kings County","120","117","Not Indicated"
"NYC19910012","ROUND II (GROVELAND GARDENS)","299 JEFFERSON ST","BROOKLYN","NY","11237","Kings County","44","43","Not Indicated"
"NYC19910017","ROUND II (EASTERN LIGHT)","19 HUMBOLDT ST","BROOKLYN","NY","11206","Kings County","21","20","Not Indicated"
"NYC19920009","ROUND III (RIVERDALE)","474 RIVERDALE AVE","BROOKLYN","NY","11207","Kings County","68","66","Not Indicated"
"NYC19920014","ROUND III (SOUTH BROOKLYN RENEWAL)","165 COLUMBIA ST","BROOKLYN","NY","11231","Kings County","28","27","Not Indicated"
"NYC19920016","ROUND III (MALCOLM 1677)","291 REID AVE","BROOKLYN","NY","11233","Kings County","22","21","Not Indicated"
"NYC19920017","ROUND III (HILLS)","116 CRESCENT ST","BROOKLYN","NY","11208","Kings County","27","26","Not Indicated"
"NYC19920021","ROUND III (NE BROOKLYN )","399 KOSCIUSZKO ST","BROOKLYN","NY","11221","Kings County","40","39","Not Indicated"
"NYC19920023","ROUND III (OCEANHILL HOUSING)","2174 ATLANTIC AVE","BROOKLYN","NY","11233","Kings County","18","18","Not Indicated"
"NYC19920024","ROUND III (GENESIS)","175 SARATOGA AVE","BROOKLYN","NY","11233","Kings County","27","26","Not Indicated"
"NYC19920026","ROUND III (TRIO)","165 QUINCY ST","BROOKLYN","NY","11216","Kings County","27","26","Not Indicated"
"NYC19920028","ROUND III (ST JOHNS HAVEN)","261 BUFFALO AVE","BROOKLYN","NY","11213","Kings County","36","35","Not Indicated"
"NYC19920029","ROUND III (ROCKHULL REDEVELOPMENT)","38 SOMERS ST","BROOKLYN","NY","11233","Kings County","45","43","Not Indicated"
"NYC19930003","ROUND III (ROCHESTER AVE)","183 ROCHESTER AVE","BROOKLYN","NY","11213","Kings County","34","33","Not Indicated"
"NYC19930009","ROUND III (ELEUTERIO REYES APTS)","120 FIRST ST","BROOKLYN","NY","","Kings County","47","46","Not Indicated"
"NYC19930011","ROUND III (NORTHERN DAYBREAK)","29 DEBEVOISE AVE","BROOKLYN","NY","11211","Kings County","18","17","Not Indicated"
"NYC19930012","ROUND III (NWR)","28 KINGSLAND AVE","BROOKLYN","NY","11211","Kings County","33","32","Not Indicated"
"NYC19930016","ROUND IV (ANTHONY E CARTER)","325 NEW LOTS AVE","BROOKLYN","NY","11207","Kings County","51","50","Not Indicated"
"NYC19930018","ROUND IV (PDQB)","689 DEKALB AVE","BROOKLYN","NY","11216","Kings County","67","65","Not Indicated"
"NYC19930019","ROUND IV (WILLOUGHBY-TOMPKINS)","162 VERNON AVE","BROOKLYN","NY","11206","Kings County","55","54","Not Indicated"
"NYC19930021","ROUND IV (BROOKLYN)","462 HANCOCK ST","BROOKLYN","NY","11233","Kings County","50","49","Not Indicated"
"NYC19930026","ROUND IV (ST JOHNS HAVEN)","1303 ST JOHNS PL","BROOKLYN","NY","11213","Kings County","48","47","Not Indicated"
"NYC19940004","ROUND IV (EAST LINCOLN HOUSING)","1484 EASTERN PKWY","BROOKLYN","NY","11233","Kings County","60","58","Not Indicated"
"NYC19940008","ROUND V (FRANKLIN E ST MARKS)","782 FRANKLIN AVE","BROOKLYN","NY","11238","Kings County","36","35","Not Indicated"
"NYC19940017","ROUND V (UNION SUTTER REDEV)","2031 UNION ST","BROOKLYN","NY","11212","Kings County","36","35","Not Indicated"
"NYC19940019","ROUND V (SHESHBAZZAR)","721 DEKALB AVE","BROOKLYN","NY","11216","Kings County","61","59","Not Indicated"
"NYC19940024","ROUND VI (DAWSON ESTATES)","633 NEW JERSEY AVE","BROOKLYN","NY","11207","Kings County","23","22","Not Indicated"
"NYC19940028","ROUND VI (BROOKLYN)","905A GATES AVE","BROOKLYN","NY","11221","Kings County","33","32","Not Indicated"
"NYC19950015","ABRAHAM RESID II","3811 SURF AVE","BROOKLYN","NY","11224","Kings County","41","41","Not Indicated"
"NYC19950050","ROUND V (CCD)","223 MADISON ST","BROOKLYN","NY","11216","Kings County","43","42","Not Indicated"
"NYC19950065","ROUND VI (ASSOC OF BROOKLYN CLERGY)","277 TOMPKINS AVE","BROOKLYN","NY","11216","Kings County","42","40","Not Indicated"
"NYC19950070","ROUND VI (BEC NEW COMMUNITIES)","956 MYRTLE AVE","BROOKLYN","NY","11206","Kings County","31","30","Not Indicated"
"NYC19950100","ROUND VI (LDC OF CROWN HEIGHTS)","1050 BERGEN ST","BROOKLYN","NY","11216","Kings County","30","29","Not Indicated"
"NYC19950105","ROUND VI (MHANY)","796 CLASSON AVE","BROOKLYN","NY","11238","Kings County","37","36","Not Indicated"
"NYC19950115","ROUND VI (PACC)","848 GREENE AVE","BROOKLYN","NY","11221","Kings County","32","31","Not Indicated"
"NYC19950130","ROUND VI (URBAN STRATEGIES)","2108 FULTON ST","BROOKLYN","NY","11233","Kings County","45","44","Not Indicated"
"NYC19950145","TURNING POINT REDHOOK","713 HENRY ST","BROOKLYN","NY","11231","Kings County","31","30","Not Indicated"
"NYC19960037","PHASE IIC1 & IIC2","451 PROSPECT PL","BROOKLYN","NY","11238","Kings County","77","53","Not Indicated"
"NYC19960055","ROUND VI (NE BROOKLYN HOUSING CORP BROADWAY)","340 HART ST","BROOKLYN","NY","11206","Kings County","43","42","Not Indicated"
"NYC19960065","ROUND VII (ENY URBAN YOUTH CORPS)","2297 PITKIN AVE","BROOKLYN","NY","11207","Kings County","26","25","Not Indicated"
